name,lng,lat,size
北京市,116.39564503788,39.92998577808,2
天津市,117.21081309155,39.14392990331,2
河北省,115.66143362422,38.613839749251,1
山西省,112.51549586384,37.866565990509,1
内蒙古自治区,114.41586754817,43.468238221949,1
辽宁省,122.75359155772,41.621600105958,1
吉林省,126.26287593078,43.678846185241,1
黑龙江省,128.04741371499,47.356591643111,5
上海市,121.48789948569,31.249161710015,4
江苏省,119.36848893836,33.013797169954,1
浙江省,119.95720242066,29.159494120761,1
安徽省,117.21600520757,31.859252417079,1
福建省,117.98494311991,26.050118295661,1
江西省,115.6760823667,27.757258443441,2
山东省,118.52766339288,36.099289929728,2
河南省,113.48680405753,34.157183767956,3
湖北省,112.41056219213,31.20931625014,58
湖南省,111.72066354648,27.695864052356,1
广东省,113.39481755876,23.408003729025,7
广西壮族自治区,108.92427442706,23.552254688119,1
海南省,109.73375548794,19.180500801261,1
重庆市,106.53063501341,29.544606108886,2
四川省,102.8991597236,30.367480937958,3
贵州省,106.7349961033,26.902825927797,1
云南省,101.59295163701,24.864212795483,2
西藏自治区,89.137981684031,31.367315402715,0
陕西省,109.50378929073,35.860026261323,1
甘肃省,102.45762459934,38.103267343752,1
青海省,96.202543672261,35.499761004275,0
宁夏回族自治区,106.15548126505,37.321323112295,0
新疆维吾尔自治区,85.614899338339,42.127000957642,0
台湾省,121.97387097872,24.086956718805,0
香港特别行政区,114.18612410257,22.29358599328,0
澳门特别行政区,113.55751910182,22.204117988443,0
